구분,항목,내용,원본파일,원본행
서비스 영역,프롬프트(중),드라마작가,수집된DB/대표DB.csv,96
서비스 영역,AI번역(중),방산,수집된DB/대표DB.csv,96
서비스 영역,프롬프트 서비스,내용작성후 감수 받기,수집된DB/대표DB.csv,96
서비스 영역,프롬프트(중),웹툰 스토리 만들기,수집된DB/대표DB.csv,97
서비스 영역,AI번역(중),뉴스,수집된DB/대표DB.csv,97
서비스 영역,프롬프트 서비스,번역서비스,수집된DB/대표DB.csv,97
서비스 영역,프롬프트(중),소설 쓰기,수집된DB/대표DB.csv,98
서비스 영역,AI번역(중),정치,수집된DB/대표DB.csv,98
서비스 영역,프롬프트 서비스,제작요청,수집된DB/대표DB.csv,98
서비스 영역,AI번역(중),문학,수집된DB/대표DB.csv,99
서비스 영역,프롬프트(대),코딩,수집된DB/대표DB.csv,100
서비스 영역,AI번역(중),경제,수집된DB/대표DB.csv,100
서비스 영역,AI번역(중),방산,수집된DB/대표DB.csv,101
서비스 영역,AI번역(중),공학,수집된DB/대표DB.csv,102
